title,text,subject,date
North Korea says sanctions threaten survival of its children,"GENEVA (Reuters) - North Korea told a U.N. rights panel that international sanctions imposed on it over its nuclear and ballistic missile programs would endanger the survival of North Korean children. Han Tae Song, Pyongyang s ambassador to the United Nations in Geneva, was speaking at a hearing of the United Nations Committee on the Rights of the Child late on Wednesday. The panel of independent experts challenged North Korean officials over allegations of forced child labor, sexual abuse and trafficking in North Korea, Pyongyang s health and education budget, and Internet access for children. Han said North Korea, whose population is 26 million, is a  people-centered socialist country... where protection and promotion of the rights and welfare of the child are given top priority ... There is room for improvement.  But Han said that new sanctions imposed by the United States and the U.N. Security Council over North Korea s nuclear and ballistic missile tests were hampering the production of nutritional goods for children and provision of textbooks.  The persistent and vicious blockade and sanctions against the DPRK (Democratic People s Republic of Korea) are not only hampering the endeavors for the protection and promotion of the rights of the child but also seriously threatening their right to survival,  he said, calling for sanctions to be lifted. The U.N. Security Council has unanimously imposed nine rounds of sanctions on North Korea since 2006, the latest earlier this month capping fuel supplies to the isolated state. Han said that North Korean leader Kim Jong-Un - denounced by U.S. President Donald Trump as  Rocket Man  -  personally guides the construction in different parts of the country of schoolchildren s palaces, children s hospitals, baby homes, children s homes, and primary and secondary boarding schools and works with devotion for the well-being of the young generation . South Korea approved a plan on Thursday to send $8 million worth of aid to North Korea as China warned the crisis on the divided Korean peninsula was getting more serious by the day and the war of words between Pyongyang and Washington continued. The U.N. panel asked how North Korea s  songbun  (caste system) that ranks citizens based on family loyalty to the ruling dynasty affected children s access to education, health and food. The North Korean delegation replied that this was an  imaginary concept  invented by hostile forces. Human Rights Watch has called on the rights panel to press North Korea s delegation on cases of child sexual abuse, which the New York-based group said it had documented.       The (North Korean government) report was silent on the issue of sexual abuse so the delegation was asked to provide data,  read a U.N. summary of the hearing.  North Korea s delegation said that forced child labor did not exist in the country and was banned, and that the maximum duration of young people s work in agricultural fields was limited to three weeks per year.   In response to a question on the use of the Internet, the delegation explained that there was public control of this medium in order to give preference to access to positive information for children. In addition, all children had access to the (North Korean internal) Intranet,  the summary said. The committee will issue its conclusions on Oct. 4. ",worldnews,"September 21, 2017 "
"U.S. Navy, shipbuilders ready for Trump's expansion plan","SIMI VALLEY, Calif. (Reuters) - The U.S. arms industry is ready and capable of boosting production of new ships if President-elect Donald Trump makes good his vow to expand the U.S. Navy to 350 ships, Chief of Naval Operations Admiral John Richardson told Reuters. Shifting the current target of 308 ships upwards would be “remarkably easy” as long as there is funding to pay the bill, the top uniformed Navy official said in an interview at the annual Reagan National Defense Forum in southern California. “If it’s resourced, it’s a matter of working closely with the industrial base, and they definitely are ready to do that,” he said, adding the only limiting factor would be hiring and training workers to build the new ships. “If I do not have that capacity, I can create it faster than you can appropriate the money,” Mike Petters, chief executive of Huntington Ingalls Industries Inc (HII.N), the largest U.S. military shipbuilder, said in a separate interview with Reuters.  Trump promised during his U.S. election campaign to expand the Navy to 350 ships, although lawmakers and military officials caution that any such boost would require big increases in staffing, training, maintenance and infrastructure. Richardson said the incoming administration could smooth the way toward the increase by submitting a supplemental budget for fiscal 2017, which ends Sept. 30. “It seems to me that if you want to get something done, you get started.” All eyes are on the funding for an expansion under the shadow of sequestration, the self imposed U.S. spending cap. “The question is, can you get rid of sequestration, because that is going to cloud everybody’s judgment on how fast do I invest, how fast do I build that capacity.” Petters said. Navy officials were still calculating how much it would cost to expand the Navy to 350 ships from around 290 now, but it would depend on the mix of ships and related costs. A supplemental budget request could include munitions, aircraft, and other equipment that can be bought on short notice, followed by later orders for submarines, destroyers, amphibious ships and potentially even carriers, Richardson said. “If you build those closer together, you get economic order quantities. The learning curve gets to be a much more relevant thing and the cost starts to drive down,” he said. Building two carriers at a time would potentially save about $1 billion, Petters said.     ",politicsNews,"December 4, 2016 "
"Rubio, Christie and Kasich get more debate traction on social media","NEW YORK (Reuters) - Donald Trump lost his social media dominance for the first time during the Republican presidential debates as the candidates made their eighth showing Saturday night in New Hampshire. Instead, many on Twitter took to mocking contender Senator Marco Rubio, who came under heavy attack on Saturday from rivals. New Jersey Governor Chris Christie also saw a big bump in his share of the social conversation. By the end of the night, Trump, who has the most followers, still received the largest share of mentions on Twitter Inc (TWTR.N), with 33 percent compared to Rubio’s 20 percent. Ted Cruz, a U.S. senator from Texas, came in third, with 15 percent.  But Twitter said an hour into the debate that Rubio was the most tweeted about candidate on the social media platform, marking the first time a candidate other than Trump came out on top within that time frame.  Overall, Rubio received 10 more mentions per minute on Twitter than he did during the last Republican debate on Jan. 28, according to social media analytics firm Zoomph. Three days before New Hampshire’s primary for the Nov. 8 election, many of the mentions were negative as Rubio became a target for continuing to repeat many of the same lines from his campaign stump speech. “Marco, the thing is this,” said rival Chris Christie, the governor of New Jersey, “when you’re president of the United States, when you’re a governor of a state, the memorized 30-second speech where you talk about how great America is at the end of it doesn’t solve one problem for one person.” That moment was measured by Twitter as one of the top social moments of the night. Actress Mia Farrow, @MiaFarrow, tweeted, “Rubio keeps saying the same thing.” A Marco Rubio Glitch (@RubioGlitch) account also emerged, gaining nearly 1,200 followers as of Saturday night as it parodied Rubio as a robot in tweets in Spanish and English. Rubio also had his worst performance yet with millennials on the popular messaging app Yik Yak, where he had a 44 percent disapproval rating. In contrast, Ohio Governor John Kasich had his best performance with millennials, earning a 41.4 approval rating, and maintaining the largest share of the conversation on Yik Yak. The debate was also a big night on social media for Christie, who has rarely been a top contender in social mentions. According to Brandwatch, a social media analytics firm, he had the second highest percentage of positive social mentions, 61.5 percent, compared to Trump’s 62.5 percent. Tyler Freeman (@tyfreem) tweeted, “#GOPDebate Chris Christie has been most underrated candidate the whole campaign. He finally stood out tonight. One of the best performances.”  (Reporting by Anjali Athavaley; Editing by Leela de Kretser and Mary Milliken) SAP is the sponsor of this content. It was independently created by Reuters’ editorial staff and funded in part by SAP, which otherwise has no role in this coverage.",politicsNews,"February 7, 2016 "
U.S. Capitol replacing flag display over Confederate imagery,"WASHINGTON (Reuters) - A display of U.S. state flags in a tunnel under Washington’s Capitol complex will be replaced because of controversial Confederate symbols on some of the flags, an administrative committee said on Thursday. In its place, in the busy passageway between the Capitol and adjacent office buildings, depictions of commemorative quarters representing the 50 states, the U.S. territories and Washington, D.C., will be installed, said Committee on House Administration Chairwoman Candice Miller. Michigan Republican Representative Miller said in a statement that she decided to replace the display because of the controversy surrounding the Confederate flag, which is widely seen today as a symbol of racism and slavery.  “I am well aware of how many Americans negatively view the Confederate flag, and, personally, I am very sympathetic to these views,” she said. Lawmakers who choose to hang their home states’ flags outside their offices may still do so. “In this way all state flags are displayed on Capitol Hill,” Miller said.   Only the Mississippi state flag still depicts the Confederate battle flag, in the top left corner. Symbols from various Confederate flags are evident in the flags of Alabama, Florida, Georgia and Arkansas. All these states were among those that seceded from the union in 1860-1861 and joined the pro-slavery Confederate States of America that was defeated by the anti-slavery union in the American Civil War. Representative Bennie Thompson, a Mississippi Democrat who pushed last year for his state’s flag to be removed from the Capitol, praised Miller’s announcement as a step toward removing all signs of the “Confederate revolt against our own country.” Criticism over public display of the Confederate flag  intensified last year after a white man who gunned down nine black churchgoers in South Carolina was pictured on social media with it. U.S. House of Representatives Speaker Paul Ryan, a Wisconsin Republican, told a weekly news conference that he supports the decision to change the display. It is expected to be installed once renovations of the tunnel are finished later this year. ",politicsNews,"April 21, 2016 "
"Japan's new party vows to scrap over-reliance on fiscal, monetary steps","TOKYO (Reuters) - Tokyo Governor Yuriko Koike s new party on Friday unveiled an election platform that seeks to distance her  Yurinomics  policies from Prime Minister Shinzo Abe s aggressive stimulus, by cutting reliance on fiscal spending and monetary easing.  Launched less than two week s ago, Koike s  Party of Hope  will take on Abe s ruling coalition in a national election called for Oct. 22.  It has made populist calls to freeze a scheduled sales tax hike in 2019 and phase out nuclear power, in an effort to set itself apart from the government on key issues, but the fresh approach on the economy was given its own catchy name.  We ll carry out  Yurinomics  that brings out private sector vitality, without relying excessively on monetary easing and fiscal spending,  the Party of Hope said.  While maintaining the Bank of Japan s massive monetary easing for the time being, the government and the BOJ should work together to seek a smooth exit strategy,  it added.  Yurinomics  is a piece of political branding to counter  Abenomics  - the name given to the aggressive monetary and fiscal stimulus measures and structural reforms Abe has adopted since returning to power in December 2012.  Five years on, Abe s government can point to some signs that his strategy is finally fostering stronger economic growth and defeating deflation. Appointed by Abe, Bank of Japan Governor Haruhiko Kuroda still wants to give his money-printing ways more time to work, whereas the Hope party wants to debate a strategy to smoothly end them. Abe called the snap election last week in the hope his Liberal Democratic Party-led coalition will secure a simple majority in parliament s lower house, from its two-thirds  super majority  earlier.   Amid signs that voters are disillusioned with Abe after nearly five years in power, Koike s Hope party, pitched as a  reformist, conservative  alternative to Abe s equally conservative LDP, has clouded the outlook, however.   By putting monetary policy on the table, Koike s platform could spur debate among a lot of lawmakers about the need to fix some of the things they think are wrong, and quantitative easing could be a candidate,  said Shuji Tonouchi, senior market economist at Mitsubishi UFJ Morgan Stanley Securities.  Right now, the market impact is limited because the chances of her party forming a government are low.  The new party says  Yurinomics  - derived from Koike s first name - will focus on deregulation and tax firms  massive internal reserves - worth around 300 trillion yen ($2.66 trillion) to encourage them to put unused cash to better use. It will also freeze the scheduled sales tax hike in 2019 and help low-income households with a  basic income  policy that regularly pays a set amount of money to all citizens. While the Party of Hope s conservative approach on defense and constitutional reform resembles that of Abe s LDP, its economic policy has a more populist streak, analysts say.  Basic income is being called for in some countries facing growing social inequality, so I m not totally rejecting the idea,  said Hiroshi Shiraishi, senior economist at BNP Paribas Securities.  But without a secure source of revenue, it s simply impossible.  Abe s ruling coalition has pledged to proceed with the sales tax hike and use the revenues for child care and education. Koike said her party would build on Abenomics to bring the benefits of the economic recovery to more households.  We need to carry out a more meticulous economic policy and social reform that would strike people s heart,  Koike told a news conference, where she reiterated that she would not stand in the coming election. Her party is open to debate on a possible revision of the  constitution s pacifist chapter 9, whose literal interpretation would ban the maintenance of armed forces. In an interview, Abe told Kyodo news agency he wanted to win support from other parties, including Koike s, for the LDP s campaign pledge for a revision to provide a firm legal basis for Japan s military, the Self-Defence Forces.  Koike, 65, a former defense minister and member of Abe s LDP, has not made clear whom her party would back as the next prime minister. She defied the LDP to run for governor last year, defeating the ruling party candidate by a landslide before leading her small local party to a huge victory on a reformist platform in a July Tokyo assembly election.  ($1=112.8300 yen) ",worldnews,"October 5, 2017 "
Ryan says 'getting really close' to U.S. government funding deal,"WASHINGTON (Reuters) - House of Representatives Speaker Paul Ryan said on Wednesday negotiators are close to reaching a deal to fund the U.S. government through October as Congress faces a Friday deadline to pass a spending bill. “We’re getting really close. I think we are making really good progress,” Ryan told reporters. “We’re very, very close on everything else and now it’s just getting down to the final details.” ",politicsNews,"April 26, 2017 "
Iran strikes deal with Syria to repair power grid,"LONDON/BEIRUT (Reuters) - Iran signed deals with Damascus on Tuesday to repair Syria s power grid, state media said, a potentially lucrative move for Tehran that points to a deepening economic role after years of fighting in the Syrian conflict. Shunned by Western powers, the Syrian government is looking to friendly states such as Iran, Russia and China to play a major role in rebuilding the country, as the war heads toward its seventh year.  Since at least 2012, Iran has provided critical military support to Syrian President Bashar al-Assad s government, helping it regain control of swathes of the country. Iran experts say Tehran is now looking to reap a financial dividend. In January, Iran s government and entities close to Iran s elite Revolutionary Guards (IRGC) signed major telecommunications and mining deals with Damascus. [nL5N1F84NX] On Tuesday, Iran and Syria signed a memorandum of understanding during a visit by Syria s electricity minister to Tehran, including building a power plant the coastal province Latakia with a capacity of 540 megawatts, Syrian state news agency SANA said.  The agreement involves restoring the main control center for Syria s electricity grid in the capital Damascus, it said. The new electricity deals could be worth millions of euros, Iranian state media said on Tuesday.  The agreement also includes rehabilitating a 90-megawatt power station in Deir al-Zor province, where the Syrian army and allied forces have made swift advances against Islamic State in recent days.  With Russian air power and Iran-backed militias, the government has driven rebels from Syria s main urban centers in western Syria and marched eastwards against Islamic State.  The Syrian government ... is working relentlessly to restore the power system,  SANA cited Syrian Electricity Minister Mohammad Zuhair Kharboutli as saying.  Iranian companies will have a role in rebuilding Syria.  Two contracts were also signed, including for Iran to supply power to Aleppo city, which the Syrian military and its allies fully regained last year in a major blow to rebels, SANA said.     We will stand by the Syrian people to rebuild this country ... We will bring light to houses of the Syrian people,  Sattar Mahmoudi, Iran s caretaker energy minister, was quoted as saying on the ministry s website. The deals will be worth hundreds of millions of euros if finalised, and Tehran is also keen to expand its cooperation to construct water and sewerage facilities in Syria, he said. More than 1,000 soldiers deployed by the Revolutionary Guards to Syria have died on the front lines of the multi-sided conflict in recent years.  Iran s Revolutionary Guards saved the Assad regime from collapsing at a heavy price for Damascus for now they own Syria,  Emanuele Ottolenghi, senior fellow at the Foundation for Defense of Democracies told Reuters.  I expect these to be the first in a wave of tenders won by IRGC companies, which will have the best reconstruction projects to Iran,  he added. Iranian firms are already involved in a series of electricity generation projects in Syria. Iran aims to export electricity and create the biggest power network in the Islamic world by hooking up Iran s national grid with those of Iraq and Lebanon. Iran said in August that it has exported $58 million worth of goods to Syria in the first four months of this year, marking a 100 percent increase compared with the same period a year ago. ",worldnews,"September 12, 2017 "
Embattled Australian PM says he will lead government to next election,"MELBOURNE (Reuters) - Australia s embattled conservative Prime Minister Malcolm Turnbull has shaken off speculation about the security of his leadership, declaring on Sunday he will lead his coalition government into the next election in 2019. Turnbull, who has faced a horror run in recent weeks, losing his one-seat majority and being called to stepdown before Christmas, said that he  runs the government  and that his party s policies would soon be converted into public support.  I have every confidence that I will lead the coalition to the next election in 2019 and we will win it,  Turnbull told Sky News television.  I am very confident we will be able to see a disciplined approach to teamwork within the coalition.     Three Australian prime ministers have been ousted by their own parties since 2010. Turnbull s confidence has been bolstered by the stunning by-election victory of his former deputy prime minister, Barnaby Joyce, who easily cruised to victory on Saturday night with a huge 65 percent primary vote. Barnaby was kicked out of parliament just over one month ago because he held dual citizenship with New Zealand, a status he has since rescinded. Under Australia s constitution dual citizens are banned from the national parliament. Barnaby s win restores Turnbull s slim one-seat majority in parliament and Turnbull, who is struggling with record low opinion polls, has claimed the victory as a vote of confidence in his performance. Turnbull has been under sustained attack for much of the year over issues including same sex marriage and the scandal-plagued banking sector, and has failed to end widespread disquiet within his coalition about his future as leader. On Friday, the conservative deputy premier of New South Wales state John Barilaro called for Turnbull to step down as a  Christmas gift  to the nation. The comment came just days after Turnbull was forced into an embarrassing policy reversal and called a Royal Commission into the country s banking and financial sector amid mounting political pressure. Turnbull has failed to stem a flow of disgruntled voters away from his conservative coalition to far-right parties and the fragility of his government has been exacerbated by a dual citizenship crisis which is forcing a number of lawmakers, like Barnaby, to recontest seats. One of those by-elections for the blue-ribbon conservative electorate of Bennelong in Sydney on Dec. 16 could see Turnbull again lose his majority in parliament if the opposition Labor achieves a surprise win. ",worldnews,"December 3, 2017 "
Trump urges U.N. council to renew Syria chemical arms inquiry,"WASHINGTON (Reuters) - U.S. President Donald Trump on Thursday urged all members of the U.N. Security Council to back the renewal of the international inquiry into chemical weapons attacks in Syria, saying it was needed to prevent President Bashar al-Assad from using the arms.  Need all on the UN Security Council to vote to renew the Joint Investigative Mechanism for Syria to ensure that Assad Regime does not commit mass murder with chemical weapons ever again,  Trump said in a note on Twitter. The 15-nation council was due to vote on Thursday on rival U.S. and Russian bids to renew the international inquiry, diplomats said on Wednesday, a move that could trigger Russia s 10th veto to block action on Syria. ",worldnews,"November 16, 2017 "
Exclusive: Most Americans support torture against terror suspects - Reuters/Ipsos poll,"(Reuters) - Nearly two-thirds of Americans believe torture can be justified to extract information from suspected terrorists, according to a Reuters/Ipsos poll, a level of support similar to that seen in countries like Nigeria where militant attacks are common. The poll reflects a U.S. public on edge after the massacre of 14 people in San Bernardino in December and large-scale attacks in Europe in recent months, including a bombing claimed by the militant group Islamic State last week that killed at least 32 people in Belgium.  Donald Trump, the front-runner for the 2016 Republican presidential nomination, has forcefully injected the issue of whether terrorism suspects should be tortured into the election campaign.  Trump has said he would seek to roll back President Barack Obama’s ban on waterboarding - an interrogation technique that simulates drowning that human rights groups contend is illegal under the Geneva Conventions. Trump has also vowed to “bring back a hell of a lot worse” if elected. Trump’s stance has drawn broad criticism from human rights organizations, world bodies, and political rivals. But the poll findings suggest that many Americans are aligned with Trump on the issue, although the survey did not ask respondents to define what they consider torture.  “The public right now is coping with a host of negative emotions,” said Elizabeth Zechmeister, a Vanderbilt University professor who has studied the link between terrorist threats and public opinion. “Fear, anger, general anxiety: (Trump) gives a certain credibility to these feelings,” she said. The March 22-28 online poll asked respondents if torture can be justified “against suspected terrorists to obtain information about terrorism.” About 25 percent said it is “often” justified while another 38 percent it is “sometimes” justified. Only 15 percent said torture should never be used.  Republicans were more accepting of torture to elicit information than Democrats: 82 percent of Republicans said torture is ""often"" or ""sometimes"" justified, compared with 53 percent of Democrats. (Graphic: tmsnrt.rs/1ShObx1) About two-thirds of respondents also said they expected a terrorist attack on U.S. soil within the next six months. Surveys by other polling agencies in recent years have shown U.S. support for the use of torture at around 50 percent. A 2014 survey by Amnesty International, for example, put American support for torture at about 45 percent, compared with 64 percent in Nigeria, 66 percent in Kenya and 74 percent in India. Nigeria is battling a seven-year-old insurgency that has displaced 2 million people and killed thousands, while al Shabaab militants have launched a series of deadly attacks in Kenya. India is fighting a years-old Maoist insurgency that has killed hundreds. In November, terrorism replaced economy as the top concern for many Americans in Reuters/Ipsos polling, shortly after militants affiliated with the Islamic State killed 130 people in Paris. (Graphic: polling.reuters.com/#!poll/SC8/type/smallest/dates/20151101-20151231/collapsed/true/spotlight/1) At the same time, Trump surged in popularity among Republicans, who viewed him as the strongest candidate to deal with terrorism. Besides his advocacy of waterboarding, Trump said that he would “bomb the hell out of ISIS,” using an alternative acronym for Islamic State. “You’re dealing with people who don’t play by any rules. And I can’t see why we would tie our hands and take away options like waterboarding,” said Jo Ann Tieken, 71, a Trump supporter. Tieken said her views had been influenced by the injuries suffered by her two step-grandsons while serving in the military four years ago in Afghanistan. The Reuters/Ipsos poll included 1,976 people. It has a credibility interval, a measure of accuracy, of 2.5 percentage points for the entire group and about 4 percentage points for both Democrats and Republicans. (Graphic: reut.rs/1Rp3x6C)     ",politicsNews,"March 30, 2016 "
Tunisia PM will go ahead with painful policy despite opposition,"TUNIS (Reuters) - Tunisia will continue with a package of painful economic policies, Prime Minister Youssef Chahed said on Tuesday, despite resistance from labor unions and business associations to changes that will raise taxes and put thousands out of work. The North African country is under pressure from the International Monetary Fund to speed up policy changes and help its economy recover from militant attacks in 2015 that hurt its vital tourism industry. Tunisia plans to raise value-added and other taxes and lay off about 10,000 government workers as part of the 2018 budget to cut its budget deficit. The government has also proposed a 1 percent social security tax on employees and companies. A federation of company owners, UTICA, has rejected that proposal and is threatening to shut down companies.  We will seek consensus with all, but we go ahead with reforms needed to revive the economy and will not retreat,  Chahed told parliament at the start of the budget debate. Chahed also wants to freeze public-sector hiring, but the powerful union UGTT said it will not accept that, because branches such as education and health needed recruitments.  Beware the anger of the Tunisian UGTT if the situation continues and if the rest of the parties refuse to share sacrifice,  UGTT head Nourredine Taboubi said. Tunisia has been praised for its democratic progress after a 2011 uprising that toppled President Zine El Abidine Ben Ali. But successive governments have failed to make the changes needed to trim deficits and create growth. Under the 2018 budget, the deficit will fall to 4.9 percent of gross domestic product in 2018, from about 6 percent expected in 2017. Tunisia hopes to raise GDP to about 3 percent next year against 2.3 percent this year. ",worldnews,"November 21, 2017 "
U.S. lawmakers reach agreement on new North Korea sanctions,"WASHINGTON (Reuters) - Republican and Democratic U.S. senators on Wednesday said they agreed on a new package of sanctions on North Korea, and that the Senate Banking Committee would act on the legislation next week, while President Donald Trump is on his first trip to Asia since taking office. Among other measures, the “Otto Warmbier Banking Restrictions Involving North Korea Act of 2017,” named after a U.S. student who died after he was imprisoned in North Korea, would strengthen and expand existing sanctions and strengthen Congress’ oversight of North Korea sanctions. It would also impose sanctions on foreign financial institutions, such as Chinese banks found to provide services to any individual targeted for North Korea-related sanctions by the U.S. Congress, a presidential executive order or U.N. Security Council resolution. The new sanctions bill would require Trump, or any other U.S. president, to notify congressional committees of any intention to terminate or suspend the sanctions. It would also require the president to submit regular reports on the system for licensing transactions and regular briefings for Congress by the administration. The international community has been working to come up with a response to North Korea’s nuclear and ballistic missiles programs that does not involve potentially catastrophic military action. Members of the U.S. Congress in particular have called for China, and Chinese banks, to do more to clamp down on Pyongyang. North Korea this year conducted its sixth and most powerful nuclear detonation and has test-fired a volley of missiles, including intercontinental ballistic missiles (ICBMs) that, if perfected, could potentially reach the U.S. mainland. The sanctions bill was agreed upon by Republican Senator Mike Crapo, chairman of the Senate Banking Committee, and Sherrod Brown, its ranking member, along with panel members Pat Toomey, a Republican, and Chris Van Hollen, a Democrat. “The time has come for the U.S. to take the lead to ensure that all nations work together to isolate the Kim regime until it has no choice but to change its dangerous, belligerent behavior,” Crapo said in a statement. ",politicsNews,"November 1, 2017 "
Egypt detains 15 after dozens attack Coptic church south of Cairo,"CAIRO (Reuters) - Egyptian authorities have detained 15 people pending an investigation into an attack on an unlicensed Coptic Christian church in a village south of Cairo, a security source said on Sunday. Dozens of Muslims from the village of Kafr al-Waslin attacked the church after Friday prayers, smashing the windows and breaking everything inside, the archdiocese of Atfih said in a statement. The diocese had applied to legalize the status of the church, which has housed worshippers for 15 years after a church building law was passed in 2016, the statement said. Those detained are accused of stirring sectarian strife, harming national unity and destroying private property, one judicial source told Reuters.  The owner of the building was also in custody pending inquiries into the operations of the facility by state security and the interior ministry, the source added. Egyptian Christians make up about a tenth of the country s almost 95 million population and are the Middle East s largest Christian community. They have long complained of discrimination in the majority-Muslim country. The government does not make the official number of Christians public in its census and Christians have long complained of being undercounted.  Some Muslims object to turning this building into a church because there s a really big mosque beside it,  one villager who asked not to be named told Reuters.   There are strong social ties between the Muslims and Christians [in our village,  he added.  ",worldnews,"December 24, 2017 "
U.S. House Intelligence chairman questions leaks behind Flynn resignation: CNN,"WASHINGTON (Reuters) - The head of the U.S. House Intelligence Committee said he is concerned about leaks regarding Michael Flynn, President Donald Trump’s former national security adviser, and his contacts with Russia that promoted Flynn’s resignation, CNN reported on Tuesday. House Permanent Select Committee on Intelligence Chairman Devin Nunes told reporters that he wants to look into the leaks regarding Flynn and his December call with the Russian ambassador to the United States before Trump took office, according to CNN. ",politicsNews,"February 14, 2017 "
Denmark no longer to automatically accept U.N. refugee resettlement quota,"COPENHAGEN (Reuters) - Denmark will no longer automatically accept a quota of refugees under a U.N. resettlement program after passing a law on Wednesday that enables the government to determine how many can enter each year. Since 1989, Denmark has agreed to take 500 refugees a year selected by the United Nations under a program to ease the burden on countries that neighbor war zones.  But after the European migration crisis in 2015 brought almost 20,000 claims for asylum, Denmark has refused to take any U.N. quota refugees. Under the new law, the immigration minister will decide how many refugees will be allowed under the U.N. program, with 500 now the maximum except in an  exceptional situation .    It s hard to predict how many refugees and migrants will show up at the border to seek asylum, and we know it may be hard to integrate those who arrive here,  Immigration and Integration Minister Inger Stojberg said last month when her ministry proposed the law. The opposition Social-Liberal Party said opting out of the U.N. program would increase pressure on countries already accommodating large numbers of refugees, and the move could encourage other countries to follow suit. Last year, more than 6,000 people claimed asylum in Denmark. Between January and November this year just over 3,000 people did.   (Corrects throughout to show new law only applies to U.N. resettlement quota, not other refugee applications.) ",worldnews,"December 20, 2017 "
"Brazil prosecutors seek to extend Batista detention, source says","SAO PAULO (Reuters) - The Office of Brazil s Prosecutor-General Rodrigo Janot asked the Federal Supreme Court on Thursday to convert the temporary detention of billionaire beef tycoon Joesley Batista into preventative detention, a person with knowledge of the situation said. ",worldnews,"September 14, 2017 "
Democrats probe whether Flynn pushed nuclear project as Trump aide,"WASHINGTON (Reuters) - Democratic lawmakers are investigating whether retired U.S. General Michael Flynn secretly promoted a U.S.-Russian project to build dozens of nuclear reactors in the Middle East after becoming President Donald Trump’s first national security adviser. Representatives Elijah Cummings and Eliot Engel made the disclosure in a letter they sent on Tuesday to Flynn’s lawyer and executives of the private firms that developed the project. Flynn’s  now-defunct company worked as a consultant on it. Robert Kelner, Flynn’s lawyer, declined to comment. Separately on Wednesday, NBC News reported that Flynn’s son, Michael Flynn Jr., is being investigated by Special Counsel Robert Mueller as part of his inquiry into U.S. allegations that Russia meddled in the 2016 presidential election. Flynn worked for his father’s consulting firm. A lawyer for Flynn Jr. declined to comment to NBC. “The American people deserve to know whether General Flynn was secretly promoting the private interests of these businesses while he was a (Trump) campaign adviser, transition official, or President Trump’s national security adviser,” Cummings and Engel said in the letter made public on Wednesday. They asked Flynn’s lawyer and executives of the companies involved to provide “all communications” they had with Flynn or other administration officials during Flynn’s association with Trump. The project proposes to build 40 nuclear reactors across the Middle East that would feed a regional electric grid. The reactors would be “proliferation proof,” meaning they could not be used to produce fuel for nuclear weapons. A promotional slide of the project said security would be provided by Rosoboron, a Russian state-owned arms exporter that is under U.S. sanctions. The sanctions imposed during the administration of former President Barack Obama soured relations between Moscow and Washington and Trump said in his election campaign that he wanted to improve those ties. Intelligence reports indicate that some Trump associates may have violated a law called the Logan Act, which prohibits unauthorized U.S. citizens from negotiating with a foreign government that has a dispute with the United States, sources familiar with the reports said. Cummings, the top Democrat on the House Oversight and Government Reform Committee, and Engel, the senior Democrat on the House Foreign Relations Committee, asked that the documents be provided by Oct. 4. The retired general is a central figure in Mueller’s investigation into whether Trump aides colluded with Russia to boost Trump’s campaign. Russia has denied interfering in the U.S. election and Trump has said there was no collusion. Trump, who took office on Jan. 20, fired Flynn on Feb. 13, 18 days after a top Justice Department official warned that the former Defense Intelligence Agency director could be blackmailed because Moscow knew he made misleading statements about his contacts with Russian officials. Cummings and Engel sent their letter as part of an inquiry into the renewal of Flynn’s 2016 Top Secret security clearance. They said Flynn failed to disclose a June 2015 trip he made to Egypt and Israel to promote the reactor project to investigators reviewing his renewal application and that he also did not list the foreigners with whom he met. The lawmakers wrote that replies from the executives and Kelner to a June letter confirmed that Flynn made the trip. “Based on your responses, it appears that General Flynn violated federal law,” they wrote. “Since these violations carry criminal penalties of up to five years in prison, we are providing your responses to Special Counsel Robert Mueller,” they wrote to Kelner, Alex G. Copson of X-Co Dynamics/ACU Strategic Partners, and retired Rear Admiral Michael Hewitt of X-Co Dynamics/Ironbridge Group/IP3. All are private companies. “Second, your responses raise significant questions about whether General Flynn continued to communicate with you and others about this project after the presidential election, after Donald Trump was sworn in as president, and after General Flynn assumed the post of national security adviser - without disclosing his foreign travel or contacts,” the lawmakers added. Donald Gross, counsel for ACU Strategic Partners, said the company has cooperated with the oversight committee in providing information about the project being developed along with Hewitt’s IP3, and “General Flynn’s limited involvement in June 2015.” Hewitt did not respond to a LinkedIn message seeking comment. The proposed reactor project would be funded by Saudi Arabia and other Gulf Arab states and built and run by a consortium of U.S., Russian, French, Dutch, Arab, British, Ukrainian and Israeli firms.  ",politicsNews,"September 13, 2017 "
Iraq says captures positions south of Kirkuk from Kurdish forces,"BAGHDAD (Reuters) - Iraqi forces have captured several positions south of Kirkuk from Kurdish forces including the North Gas Company station, a nearby processing plant and the industrial district south of the city, an Iraqi military statement said on Monday.  Forces are continuing to advance,  it said.  ",worldnews,"October 16, 2017 "
